Whether_of_not_the_TA_is_a_native_English_speaker,Course_intructor,Course,Summer_or_regular_semester,Class_size,Class_attribute
English speaker,cat-5,cat-2,Regular,0.9227589855843447,High
non-English speaker,cat-23,cat-3,Summer,-0.2475694839372632,High
non-English speaker,cat-13,cat-1,Regular,0.652683184925512,High
non-English speaker,cat-22,cat-3,Regular,2.0930874551059526,Medium
non-English speaker,cat-1,cat-15,Summer,-0.06751895016470814,Medium
non-English speaker,cat-18,cat-5,Regular,-0.33759475082354073,Low
non-English speaker,cat-15,cat-3,Summer,-0.5176452845960958,High
non-English speaker,cat-15,cat-3,Summer,-0.2475694839372632,High
non-English speaker,cat-13,cat-1,Regular,0.652683184925512,High
non-English speaker,cat-6,cat-17,Regular,1.82301165444712,Medium
non-English speaker,cat-15,cat-13,Regular,1.2828600531294547,Medium
non-English speaker,cat-16,cat-19,Regular,-1.057796885913761,High
English speaker,cat-23,cat-3,Summer,-0.2475694839372632,High
non-English speaker,cat-23,cat-3,Regular,-1.1478221528000385,Medium
non-English speaker,cat-13,cat-1,Regular,0.5626579180392345,Low
non-English speaker,cat-22,cat-1,Regular,-1.057796885913761,Medium
non-English speaker,cat-9,cat-6,Regular,-1.597948487231426,Medium
non-English speaker,cat-16,cat-20,Regular,-0.6976958183686508,Low
non-English speaker,cat-19,cat-4,Regular,-1.1478221528000385,Low
non-English speaker,cat-2,cat-10,Regular,0.3826073842666795,Low
