Whether_of_not_the_TA_is_a_native_English_speaker,Course_intructor,Course,Summer_or_regular_semester,Class_size,Class_attribute
English speaker,cat-23,cat-3,Summer,0.17543859649122806,High
non-English speaker,cat-15,cat-3,Summer,0.14035087719298245,High
English speaker,cat-23,cat-3,Regular,0.7017543859649122,High
English speaker,cat-5,cat-2,Regular,0.42105263157894735,High
non-English speaker,cat-7,cat-11,Regular,0.8070175438596491,High
non-English speaker,cat-23,cat-3,Summer,0.19298245614035087,High
non-English speaker,cat-9,cat-5,Regular,0.17543859649122806,High
non-English speaker,cat-10,cat-3,Regular,0.3157894736842105,High
English speaker,cat-22,cat-3,Summer,0.8596491228070176,High
non-English speaker,cat-15,cat-3,Summer,0.19298245614035087,High
non-English speaker,cat-10,cat-22,Regular,0.0,High
non-English speaker,cat-13,cat-1,Regular,0.3684210526315789,High
non-English speaker,cat-18,cat-21,Regular,0.3508771929824561,High
non-English speaker,cat-6,cat-17,Regular,0.5263157894736842,High
non-English speaker,cat-6,cat-17,Regular,0.5789473684210527,Medium
non-English speaker,cat-6,cat-17,Regular,0.5964912280701754,Medium
non-English speaker,cat-7,cat-11,Regular,0.017543859649122806,Medium
non-English speaker,cat-22,cat-3,Regular,0.6491228070175439,Medium
non-English speaker,cat-13,cat-3,Summer,0.017543859649122806,Medium
non-English speaker,cat-7,cat-25,Regular,0.5789473684210527,Medium
non-English speaker,cat-25,cat-7,Regular,0.3157894736842105,Medium
non-English speaker,cat-25,cat-7,Regular,0.24561403508771928,Medium
non-English speaker,cat-2,cat-9,Regular,0.38596491228070173,Medium
non-English speaker,cat-1,cat-15,Summer,0.22807017543859648,Medium
non-English speaker,cat-15,cat-13,Regular,0.49122807017543857,Medium
non-English speaker,cat-7,cat-11,Regular,0.07017543859649122,Medium
non-English speaker,cat-8,cat-3,Regular,0.2631578947368421,Medium
non-English speaker,cat-14,cat-15,Regular,0.5087719298245614,Medium
non-English speaker,cat-21,cat-2,Regular,0.5789473684210527,Low
non-English speaker,cat-22,cat-3,Regular,0.3333333333333333,Low
non-English speaker,cat-11,cat-1,Regular,0.7368421052631579,Low
