Wife's_age,Wife's_education,Husband's_education,Number_of_children_ever_born,Wife's_religion,Wife's_now_working?,Husband's_occupation,Standard_of_living_index,Media_exposure,Contraceptive_method_used
-1.0967936109988579,Low-2,High-3,-0.17507524381296335,Islam,No,Low-2,High-3,Good,No-use
1.406757022802882,Low-1,High-3,2.8887415229138957,Islam,No,High-3,High-4,Good,No-use
1.1683236291074783,Low-2,High-3,1.5756771943166705,Islam,No,High-3,High-4,Good,No-use
1.0491069322597764,High-3,Low-2,2.451053413381487,Islam,No,High-3,High-3,Good,No-use
0.333806751173565,High-3,High-3,2.0133653038490786,Islam,No,High-3,Low-2,Good,No-use
-1.6928770952373675,High-4,High-4,-1.4881395724101887,Islam,No,High-3,High-3,Good,No-use
0.5722401448689688,Low-2,High-3,1.137989084784262,Islam,No,High-3,Low-2,Good,No-use
-1.4544437015419636,High-3,High-3,-1.0504514628777804,Islam,Yes,High-3,Low-2,Good,No-use
-0.7391435204557522,Low-2,High-3,-0.17507524381296335,Islam,No,High-3,High-4,Good,No-use
1.406757022802882,Low-1,Low-1,2.0133653038490786,Islam,No,Low-2,Low-2,Not good,No-use
0.5722401448689688,Low-1,High-3,-0.6127633533453718,Islam,Yes,High-3,High-3,Not good,No-use
1.0491069322597764,Low-1,High-4,0.26261286571944514,Islam,No,Low-1,High-3,Good,No-use
1.2875403259551803,High-4,High-4,-1.0504514628777804,Islam,Yes,Low-1,High-4,Good,No-use
1.0491069322597764,Low-2,High-4,-1.0504514628777804,Islam,Yes,High-3,High-3,Good,No-use
0.09537335747816118,High-4,High-4,-0.6127633533453718,Non-Islam,No,Low-1,High-4,Good,No-use
0.09537335747816118,High-4,High-4,-0.6127633533453718,Islam,Yes,Low-1,High-3,Good,No-use
-1.2160103078465598,High-4,High-4,-0.6127633533453718,Islam,No,Low-1,High-4,Good,No-use
-0.7391435204557522,High-4,High-4,-1.0504514628777804,Islam,No,Low-1,Low-2,Good,No-use
1.525973719650584,High-3,Low-2,3.3264296324463043,Islam,Yes,Low-2,Low-2,Not good,No-use
